x,y,z
-21.354,-43.085,1.917
-21.311,-42.942,1.917
-21.267,-42.798,1.931
-21.224,-42.655,1.931
-21.180,-42.511,1.931
-21.137,-42.368,1.931
-21.093,-42.224,1.945
-21.050,-42.081,1.945
-21.006,-41.937,1.945
-20.962,-41.793,1.945
-20.919,-41.650,1.945
-20.875,-41.507,1.956
-20.832,-41.363,1.956
-20.788,-41.219,1.956
-20.745,-41.076,1.967
-20.701,-40.932,1.967
-20.657,-40.789,1.967
-20.614,-40.645,1.967
-20.570,-40.502,1.967
-20.527,-40.358,1.978
-20.483,-40.214,1.978
-20.440,-40.070,1.978
-20.396,-39.927,1.978
-20.353,-39.783,1.989
-20.309,-39.640,1.989
-20.265,-39.496,1.989
-20.222,-39.353,1.989
-20.178,-39.209,1.989
-20.135,-39.066,2.000
-20.091,-38.922,2.000
-20.048,-38.779,2.000
-20.004,-38.635,2.000
-19.961,-38.492,2.000
-19.917,-38.348,2.000
-19.963,-38.482,1.960
-20.009,-38.617,1.920
-20.055,-38.752,1.880
-20.101,-38.886,1.840
-20.147,-39.019,1.800
-20.192,-39.152,1.760
-20.237,-39.283,1.720
-20.246,-39.432,1.680
-20.256,-39.583,1.640
-20.266,-39.731,1.600
-20.276,-39.880,1.600
-20.285,-40.030,1.600
-20.295,-40.180,1.600
-20.297,-40.330,1.600
-20.300,-40.480,1.600
-20.302,-40.630,1.600
-20.305,-40.780,1.600
-20.307,-40.930,1.600
-20.310,-41.080,1.600
-20.312,-41.230,1.600
-20.313,-41.380,1.600
-20.313,-41.530,1.600
-20.314,-41.680,1.600
-20.314,-41.830,1.600
-20.315,-41.980,1.600
-20.316,-42.130,1.600
-20.316,-42.282,1.600
-20.316,-42.430,1.600
-20.316,-42.580,1.600
-20.316,-42.730,1.600
-20.316,-42.880,1.600
-20.316,-43.030,1.600
-20.317,-43.180,1.600
-20.317,-43.330,1.600
-20.317,-43.480,1.600
-20.317,-43.630,1.600
-20.317,-43.780,1.600
-20.317,-43.930,1.600
-20.317,-44.080,1.600
-20.317,-44.230,1.600
-20.317,-44.380,1.600
-20.317,-44.530,1.600
-20.317,-44.680,1.600
-20.317,-44.830,1.600
-20.317,-44.980,1.600
-20.317,-45.130,1.600
-20.317,-45.281,1.600
-20.317,-45.430,1.600
-20.317,-45.580,1.600
-20.317,-45.731,1.600
-20.317,-45.880,1.600
-20.317,-46.030,1.600
-20.317,-46.180,1.600
-20.317,-46.330,1.600
-20.317,-46.480,1.600
-20.317,-46.630,1.600
-20.317,-46.780,1.600
-20.317,-46.930,1.600
-20.317,-47.080,1.600
-20.317,-47.230,1.600
-20.317,-47.380,1.600
-20.317,-47.530,1.600
-20.317,-47.680,1.600
-20.317,-47.830,1.600
-20.317,-47.980,1.600
-20.317,-48.130,1.600
-20.317,-48.280,1.600
-20.317,-48.426,1.600
-20.317,-48.577,1.600
-20.317,-48.726,1.600
-20.317,-48.877,1.600
-20.317,-49.027,1.600
-20.317,-49.176,1.600
-20.317,-49.326,1.600
-20.317,-49.476,1.600
-20.317,-49.626,1.600
-20.317,-49.776,1.600
-20.317,-49.926,1.600
-20.317,-50.076,1.600
-20.317,-50.226,1.600
-20.203,-50.323,1.640
-20.088,-50.419,1.657
-19.974,-50.516,1.657
-19.859,-50.612,1.657
-19.744,-50.709,1.697
-19.627,-50.808,1.714
-19.515,-50.902,1.714
-19.400,-50.999,1.714
-19.285,-51.096,1.714
-19.171,-51.192,1.754
-19.056,-51.289,1.762
-18.936,-51.390,1.762
-18.824,-51.484,1.801
-18.709,-51.581,1.810
-18.595,-51.677,1.810
-18.480,-51.774,1.810
-18.365,-51.871,1.810
-18.251,-51.967,1.849
-18.136,-52.064,1.857
-18.021,-52.161,1.857
-17.906,-52.258,1.857
-17.792,-52.354,1.897
-17.677,-52.451,1.905
